Durumu;Ýstek Tarihi;Ýstek Kapanýþ Tarihi;Açýk Kalma Süresi
STRING;STRING;STRING;INT
Kapalý;January 3, 2022;April 27, 2022;114
Kapalý;January 10, 2022;February 1, 2022;22
Kapalý;January 11, 2022;January 17, 2022;6
Kapalý;January 14, 2022;May 31, 2022;137
Kapalý;January 27, 2022;January 27, 2022;0
Kapalý;February 7, 2022;March 17, 2022;38
Kapalý;February 17, 2022;March 14, 2022;25
Kapalý;February 21, 2022;March 18, 2022;25
Kapalý;February 21, 2022;February 21, 2022;0
Kapalý;February 23, 2022;March 18, 2022;23
Kapalý;March 1, 2022;March 8, 2022;7
Kapalý;March 3, 2022;March 8, 2022;5
Kapalý;March 8, 2022;March 8, 2022;0
Kapalý;March 9, 2022;March 31, 2022;22
Kapalý;March 9, 2022;March 14, 2022;5
Kapalý;March 15, 2022;March 18, 2022;3
Kapalý;March 15, 2022;June 20, 2022;97
Kapalý;March 23, 2022;March 23, 2022;0
Kapalý;March 23, 2022;April 18, 2022;26
Kapalý;March 29, 2022;March 29, 2022;0
Kapalý;April 6, 2022;June 20, 2022;75
Kapalý;April 7, 2022;May 13, 2022;36
Kapalý;April 12, 2022;April 25, 2022;13
Kapalý;April 13, 2022;April 14, 2022;1
Kapalý;April 15, 2022;April 18, 2022;3
Kapalý;April 19, 2022;April 25, 2022;6
Kapalý;April 20, 2022;April 25, 2022;5
Kapalý;April 21, 2022;May 5, 2022;14
Kapalý;April 25, 2022;April 26, 2022;1
Kapalý;April 26, 2022;May 10, 2022;14
Kapalý;May 6, 2022;May 13, 2022;7
Kapalý;May 28, 2022;May 30, 2022;2
Kapalý;May 30, 2022;June 20, 2022;21
Kapalý;May 31, 2022;May 31, 2022;0
Kapalý;May 31, 2022;June 4, 2022;4
Kapalý;May 31, 2022;June 4, 2022;4
Kapalý;June 6, 2022;June 6, 2022;0
Kapalý;June 7, 2022;June 20, 2022;13
Kapalý;June 9, 2022;June 16, 2022;7
Kapalý;June 9, 2022;June 15, 2022;6
Kapalý;June 9, 2022;June 28, 2022;19
Kapalý;June 13, 2022;June 27, 2022;14
Kapalý;June 13, 2022;June 16, 2022;3
Kapalý;June 13, 2022;June 16, 2022;3
Kapalý;June 14, 2022;June 16, 2022;2
Kapalý;June 17, 2022;June 27, 2022;10
Kapalý;June 17, 2022;June 18, 2022;1
Kapalý;June 20, 2022;June 21, 2022;1
Kapalý;June 21, 2022;June 21, 2022;0
Kapalý;June 23, 2022;June 27, 2022;4
Kapalý;June 24, 2022;June 27, 2022;3
Açýk;January 3, 2022;Blank;177
Açýk;March 25, 2022;Blank;96
Açýk;March 25, 2022;Blank;96
Açýk;March 31, 2022;Blank;90
Açýk;April 13, 2022;Blank;77
Açýk;April 18, 2022;Blank;72
Açýk;April 19, 2022;Blank;71
Açýk;April 25, 2022;Blank;65
Açýk;April 26, 2022;Blank;64
Açýk;April 27, 2022;Blank;63
Açýk;April 28, 2022;Blank;62
Açýk;May 5, 2022;Blank;55
Açýk;May 18, 2022;Blank;42
Açýk;May 20, 2022;Blank;40
Açýk;May 30, 2022;Blank;30
Açýk;May 31, 2022;Blank;29
Açýk;June 3, 2022;Blank;26
Açýk;June 7, 2022;Blank;22
Açýk;June 14, 2022;Blank;15
Açýk;June 15, 2022;Blank;14
Açýk;June 15, 2022;Blank;14
Açýk;June 15, 2022;Blank;14
Açýk;June 16, 2022;Blank;13
